Sex;ID;Age;CaptivityWild;Height;Chest Girth;Neck Circumference;Length;Weight;Foot size
1;AA;739;a;207;332;230;NA;2249;NA
1;AA;749;a;207;341;232;NA;2136;110
1;AA;741;a;208;332;232;NA;2120;116
1;AA;744;a;208;340;230;NA;2138;110
1;AA;747;a;208;342;235;NA;2290;111
1;AA;735;a;210;323;227;203;2185;114
1;AA;737;a;210;323;227;203;2203;114
1;AA;736;a;210;323;227;203;2230;114
1;AA;743;a;210;327;228;NA;2113;113
1;AA;742;a;210;334;231;NA;2127;116
1;AA;740;a;211;335;233;NA;2168;NA
1;AA;732;a;211;343;NA;208;2127;112
1;AA;749;a;256;324;223;NA;2023;113
1;AA;738;a;NA;335;238;NA;2191;NA
1;AB;647;b;224;356;221;244;2769;NA
1;AB;657;b;227;348;226;209;2780;122
1;AB;653;b;229;351;221;NA;2861;124
1;AB;658;b;230;350;240;320;2780;117
1;AB;654;b;NA;345;210;226;2737;123
1;AC;59;a;167;248;155;NA;983;91
1;AC;58;a;NA;NA;147;NA;997;88
1;AD;436;a;209;335;215;300;2629;122
1;AD;432;a;214;340;208;NA;2579;119
1;AD;433;a;216;340;214;280;2757;117
1;AD;435;a;217;340;246;295;2629;120
1;AD;425;a;224;338;206;211;2538;NA
2;AE;369;b;239;259;243;349;3060;111
2;AE;370;b;240;352;247;335;3060;127
2;AE;366;b;242;345;237;320;3065;114
2;AE;359;b;244;356;244;239;3254;NA
2;AE;365;b;244;366;234;NA;3105;114
2;AF;405;a;244;373;269;231;3378;NA
2;AF;415;a;244;378;279;315;3302;125
2;AF;416;a;246;369;258;320;3302;124
2;AF;412;a;249;371;272;NA;3328;124
2;AF;413;a;249;372;264;305;3221;122
1;AG;431;b;229;323;201;NA;2202;NA
1;AG;433;b;NA;NA;NA;213;2176;NA
1;AH;451;a;212;320;198;NA;2058;115
1;AH;436;a;213;307;180;216;1941;110
1;AH;437;a;213;307;180;216;1950;110
1;AH;444;a;213;320;199;NA;1885;108
1;AH;440;a;214;310;200;NA;1870;NA
1;AH;451;a;214;320;210;NA;2000;115
1;AH;462;a;214;327;NA;NA;2125;NA
1;AH;447;a;215;310;200;NA;2920;106
1;AH;442;a;215;311;200;NA;2920;107
1;AH;441;a;215;311;200;NA;2939;NA
1;AH;443;a;215;311;201;NA;2937;108
1;AH;434;a;216;315;NA;206;1911;107
1;AH;449;a;218;323;201;NA;2336;100
1;AI;475;b;215;320;201;NA;2140;117
1;AI;476;b;215;320;202;NA;2152;117
1;AI;474;b;215;320;203;NA;2167;NA
1;AI;484;b;215;325;204;NA;2274;116
1;AI;477;b;216;320;196;NA;2104;113
1;AI;473;b;218;321;200;NA;2236;NA
1;AI;480;b;220;313;222;NA;2213;113
1;AI;482;b;220;315;228;NA;2443;115
1;AI;471;b;223;311;196;NA;2195;106
1;AI;469;b;223;311;196;NA;2209;106
1;AI;470;b;223;311;196;NA;2238;106
1;AI;484;b;224;330;210;NA;2296;112
2;AJ;488;a;257;361;NA;259;3277;122
2;AJ;501;a;259;356;NA;257;3224;119
2;AJ;489;a;259;368;NA;267;3380;122
2;AJ;503;a;262;358;NA;244;3262;140
2;AJ;503;a;262;358;NA;251;3346;137
2;AJ;505;a;264;353;NA;264;3198;140
2;AJ;500;a;264;353;NA;272;3126;122
2;AJ;493;a;264;361;NA;257;3452;119
2;AJ;482;a;264;363;NA;244;3440;119
2;AJ;496;a;264;363;NA;264;3342;135
2;AJ;498;a;264;366;NA;254;3318;140
2;AJ;480;a;264;366;NA;257;3454;117
2;AJ;484;a;264;366;NA;257;3397;119
2;AJ;481;a;264;366;NA;257;3417;119
2;AJ;497;a;264;366;NA;267;3298;135
2;AJ;483;a;264;368;NA;257;3443;119
2;AJ;490;a;264;368;NA;262;3485;119
2;AJ;494;a;267;358;NA;264;3249;122
2;AJ;499;a;267;358;NA;274;3347;140
2;AJ;491;a;267;371;NA;257;3300;119
2;AJ;495;a;267;373;NA;264;3510;135
2;AK;61;a;175;264;NA;168;1145;86
2;AK;62;a;175;267;NA;173;1115;86
2;AK;74;a;175;277;NA;175;1232;91
2;AK;68;a;178;259;NA;170;1132;86
2;AK;69;a;178;262;NA;168;1162;86
2;AK;74;a;178;272;NA;173;1278;94
2;AK;65;a;180;259;NA;173;1105;89
2;AK;63;a;180;262;NA;170;1122;86
2;AK;78;a;180;267;NA;168;1403;91
2;AK;76;a;180;272;NA;188;1235;91
2;AK;69;a;183;257;NA;163;1212;89
2;AK;71;a;183;264;NA;173;1171;89
2;AK;71;a;183;264;NA;173;1108;97
2;AK;72;a;183;269;NA;168;1222;84
2;AK;77;a;185;264;NA;173;1245;91
2;AL;54;a;160;NA;NA;NA;684;NA
2;AL;41;a;163;231;NA;NA;684;NA
2;AM;48;a;160;NA;NA;NA;980;NA
1;AN;11;a;122;NA;NA;NA;293;NA
1;AO;18;a;147;216;NA;122;690;NA
1;AP;640;b;221;292;NA;206;2088;109
1;AP;638;b;221;297;NA;213;2040;114
1;AP;638;b;221;300;NA;208;2158;114
1;AP;649;b;221;300;NA;221;2112;112
1;AP;658;b;221;305;NA;226;2128;117
1;AP;650;b;221;305;NA;229;2108;114
1;AP;643;b;221;307;NA;221;2051;112
1;AP;637;b;221;307;NA;221;2124;114
1;AP;635;b;221;310;NA;213;2096;114
1;AP;644;b;221;335;NA;218;2094;114
1;AP;657;b;224;305;NA;213;2186;112
1;AP;659;b;224;305;NA;213;2253;112
1;AP;652;b;224;305;NA;221;2209;112
1;AP;645;b;224;305;NA;226;2158;109
1;AP;653;b;224;307;NA;218;2209;114
1;AP;647;b;224;307;NA;221;2080;112
1;AP;651;b;224;310;NA;224;2212;114
1;AP;660;b;226;305;NA;221;2174;114
1;AP;652;b;226;310;NA;213;2247;114
1;AP;655;b;226;310;NA;234;2271;117
1;AP;656;b;226;312;NA;234;2232;112
1;AQ;443;b;218;325;213;NA;2413;NA
1;AQ;445;b;NA;NA;NA;208;2216;NA
1;AR;514;a;232;373;252;342;3408;122
1;AR;504;a;236;356;239;236;3374;NA
1;AR;510;a;239;363;229;NA;3344;135
1;AR;512;a;242;365;235;284;3360;131
1;AR;515;a;247;372;248;332;3408;132
2;AS;624;b;254;396;NA;262;4221;140
2;AS;623;b;254;399;NA;262;4168;140
2;AS;622;b;254;401;NA;267;4254;140
2;AS;602;b;257;409;NA;262;4500;137
2;AS;617;b;257;409;NA;272;4319;140
2;AS;599;b;257;414;NA;257;4371;137
2;AS;602;b;257;422;NA;259;4500;137
2;AS;604;b;257;424;NA;259;3923;137
2;AS;601;b;257;427;NA;254;4500;137
2;AS;621;b;259;394;NA;264;3852;142
2;AS;620;b;259;396;NA;282;3846;140
2;AS;618;b;259;399;NA;269;4256;137
2;AS;607;b;259;427;NA;282;4465;140
2;AS;608;b;259;437;NA;272;4398;137
2;AS;609;b;259;442;NA;272;4407;140
2;AS;610;b;259;447;NA;269;4470;140
2;AS;613;b;259;450;NA;264;4439;140
2;AS;614;b;259;452;NA;264;4446;140
2;AS;619;b;262;399;NA;274;4218;137
2;AS;616;b;262;427;NA;274;4582;140
2;AT;594;b;253;360;238;NA;3340;127
2;AT;587;b;254;356;251;213;3181;NA
1;AU;642;a;229;345;NA;216;2506;122
2;AV;631;a;240;366;NA;241;3229;132
2;AW;623;a;249;348;224;229;3069;NA
2;AW;630;a;252;357;219;NA;3188;130
2;AX;633;a;235;344;260;337;2970;128
2;AX;623;a;239;348;264;239;3137;NA
2;AX;630;a;242;332;242;325;3062;132
2;AX;634;a;243;340;250;320;2970;126
2;AX;629;a;249;335;254;NA;3119;135
1;AY;103;a;185;269;NA;173;1663;91
1;AY;105;a;185;282;NA;183;1433;91
1;AY;113;a;188;287;NA;188;1669;109
1;AY;106;a;191;272;NA;185;1184;97
1;AY;108;a;191;272;NA;185;1334;97
1;AY;112;a;191;277;NA;193;1463;99
1;AY;105;a;191;282;NA;191;1445;94
1;AY;118;a;191;282;NA;198;1560;104
1;AY;112;a;191;284;NA;193;1447;99
1;AY;114;a;193;290;NA;185;1540;99
1;AY;119;a;193;295;NA;196;1572;107
1;AY;117;a;196;290;NA;203;1639;99
1;AY;124;a;196;292;NA;196;1642;104
1;AY;119;a;196;297;NA;196;1572;102
1;AY;121;a;198;290;NA;196;1529;102
1;AY;120;a;198;290;NA;201;1541;104
1;AY;122;a;198;292;NA;198;1586;102
1;AY;124;a;198;292;NA;198;1601;104
1;AY;127;a;198;295;NA;206;1742;104
1;AY;128;a;198;305;NA;196;1742;102
1;AY;126;a;201;295;NA;198;1522;104
1;AZ;97;a;166;255;155;168;1155;88
1;AZ;98;a;166;255;155;168;1159;88
1;AZ;96;a;166;255;155;168;1229;88
1;AZ;101;a;170;254;154;NA;1189;NA
1;AZ;108;a;170;255;165;NA;1418;95
1;AZ;94;a;170;257;NA;178;1137;89
1;AZ;104;a;170;261;160;NA;1232;90
1;AZ;106;a;171;250;161;NA;1216;93
1;AZ;102;a;171;252;160;NA;1215;93
1;AZ;103;a;171;255;160;NA;1198;93
1;AZ;100;a;174;251;160;NA;1234;NA
1;AZ;110;a;177;260;160;NA;1272;91
1;AZ;110;a;178;259;164;NA;1296;92
1;BA;41;a;142;NA;NA;NA;760;NA
2;BB;57;a;159;231;133;NA;911;80
2;BC;50;a;155;NA;NA;NA;946;NA
1;BD;321;a;213;348;NA;208;2467;112
1;BE;345;a;226;343;NA;216;2483;112
1;BF;579;b;215;320;214;236;2376;122
1;BF;577;b;215;320;214;236;2390;122
1;BF;578;b;215;320;214;236;2390;122
1;BF;575;b;218;320;NA;213;2231;117
1;BF;585;b;220;313;202;NA;2249;117
1;BF;582;b;220;318;210;NA;2215;NA
1;BF;592;b;220;321;200;NA;2265;120
1;BF;581;b;220;325;198;NA;2234;NA
1;BF;583;b;221;313;221;NA;2176;118
1;BF;584;b;221;317;220;NA;2194;118
1;BF;590;b;233;323;205;NA;2400;109
1;BF;587;b;238;326;203;NA;2322;116
1;BF;592;b;239;326;205;NA;2532;115
1;BF;580;b;NA;320;200;NA;2303;NA
1;BG;612;a;224;325;NA;254;2572;124
1;BG;640;a;228;342;NA;NA;2756;NA
1;BH;810;b;225;325;216;284;2600;114
1;BH;813;b;226;326;239;318;2557;125
1;BH;814;b;228;330;230;310;2557;115
1;BH;809;b;229;333;213;NA;2568;122
1;BH;803;b;231;335;213;226;2608;NA
2;BI;109;a;185;274;NA;196;1576;99
2;BI;107;a;185;284;NA;196;1530;97
2;BI;111;a;185;287;NA;196;1533;102
2;BI;108;a;185;290;NA;188;1641;99
2;BI;110;a;185;292;NA;191;1496;99
2;BI;117;a;185;305;NA;203;1012;107
2;BI;115;a;188;295;NA;203;1647;102
2;BI;116;a;188;300;NA;203;1640;102
2;BI;118;a;188;305;NA;203;1680;104
2;BI;124;a;191;287;NA;196;1669;99
2;BI;123;a;191;292;NA;208;1774;102
2;BI;125;a;191;295;NA;203;1732;102
2;BI;120;a;191;295;NA;206;1768;102
2;BI;122;a;191;302;NA;203;1718;107
2;BI;128;a;193;297;NA;216;1724;102
2;BI;129;a;193;302;NA;193;1834;104
2;BI;131;a;193;305;NA;206;1768;102
2;BI;127;a;193;305;NA;208;1812;104
2;BI;126;a;193;312;NA;208;1786;104
2;BI;121;a;196;287;NA;208;1712;107
2;BI;130;a;196;302;NA;191;1803;104
1;BJ;105;a;183;282;NA;188;1375;89
1;BJ;101;a;183;284;NA;178;1872;97
1;BJ;102;a;183;284;NA;183;1355;94
1;BJ;93;a;183;297;NA;178;1361;97
1;BJ;98;a;185;272;NA;178;1402;97
1;BJ;96;a;185;274;NA;185;1377;97
1;BJ;115;a;185;295;NA;175;1605;97
1;BJ;95;a;185;297;NA;178;1448;97
1;BJ;96;a;185;297;NA;180;1448;97
1;BJ;103;a;188;272;NA;185;1375;91
1;BJ;109;a;188;279;NA;175;1498;94
1;BJ;110;a;188;282;NA;185;1438;97
